text,source
fun in the sun hmmm hell no it's cold,tweet_emotions
@juneyee i don't think so.  I WANT DETAILS.,tweet_emotions
@jackgraycnn Hi...!!! Who is Mary Poppins???,tweet_emotions
my last tweet didn't send  bad phone,tweet_emotions
@taxidermi  I was watching Parental Control,tweet_emotions
@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,tweet_emotions
@aiderushton ill be over in an oir,tweet_emotions
@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,tweet_emotions
@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,tweet_emotions
@yelgiuQnayR airport? and you didnt show up tonight homo!,tweet_emotions
@MrRathbone what about me,tweet_emotions
"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",tweet_emotions
out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,tweet_emotions
back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,tweet_emotions
@ poll : was trying to get it to work in a powerpoint to no avail.,tweet_emotions
"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",tweet_emotions
"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",tweet_emotions
#3wordsaftersex it never started...,tweet_emotions
"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well",tweet_emotions
"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",tweet_emotions
@mysticnz no im not  cries LOL,tweet_emotions
Come on Knight... It's been well over 4 hours,tweet_emotions
twittascope is NOT rocking my socks - go away already!!,tweet_emotions
Driving Back home because I forgot the piece of cake for @v_era,tweet_emotions
@koifusionpdx i was so close to the tacos...one spot too late,tweet_emotions
@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,tweet_emotions
@passingcarss i wont have time to buy  and i need a new binder pa,tweet_emotions
25-man Ulduar is hard...,tweet_emotions
night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],tweet_emotions
@princess_oats this is happening to me too,tweet_emotions
"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",tweet_emotions
ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,tweet_emotions
@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30,tweet_emotions
"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",tweet_emotions
@sillybabyjulie me too,tweet_emotions
@digenis that story reminds of living in Portugal,tweet_emotions
"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?",tweet_emotions
@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.,tweet_emotions
@MyDailyRoutine yeahhh. &amp;dont judge my pillow,tweet_emotions
"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night",tweet_emotions
@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,tweet_emotions
OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,tweet_emotions
"lyin in bed, up faaaaar too early",tweet_emotions
When will Medhurst play again?,tweet_emotions
@duncm I'm a bit Ben's Thai-ed out,tweet_emotions
@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,tweet_emotions
in 7-11  w/o you,tweet_emotions
"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",tweet_emotions
@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!,tweet_emotions
"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",tweet_emotions
Counting the hours of lost sunshine until the Weekend,tweet_emotions
good morning work this morning gutted lol nevermind,tweet_emotions
@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble,tweet_emotions
"love is like a war,,easy to begin, hard to end..fiuuhh...",tweet_emotions
Ready To Go @ School,tweet_emotions
@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,tweet_emotions
@nayRyelgiuQ airport? and you didnt show up tonight homo!,tweet_emotions
@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:,tweet_emotions
for the gays i only made 200 tonight,tweet_emotions
"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing",tweet_emotions
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,tweet_emotions
needs to have an increase on her salary  http://plurk.com/p/wxluu,tweet_emotions
the week just wasnt the same without an adam lambert performance!!!,tweet_emotions
@rockingjude The link doesn't work,tweet_emotions
"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee..",tweet_emotions
Smh @ hiphop nursery rhymes,tweet_emotions
"@taylor_d No, it's not...",tweet_emotions
@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it,tweet_emotions
@mousebudden I'ma need you to follow me real quick cause I can't DM you,tweet_emotions
In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.,tweet_emotions
Can't sleep and nothings on tv!!,tweet_emotions
@KallieT oh ... you've been superseeded?  not good enough,tweet_emotions
@dorkydeanna IIII know!!! and mean,tweet_emotions
@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one,tweet_emotions
back to work.. with no distractions..,tweet_emotions
awwww  i never noticed this http://bit.ly/RConp,tweet_emotions
"@heavyharts that sucks  well state starts tomorrow so im headin 2 bed, nitey nite",tweet_emotions
@mygoldmask did you guys keep a set list? I forgot to ask for one  xx,tweet_emotions
"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic",tweet_emotions
"the time you go to bed,  i have to get up to go to work",tweet_emotions
"@miss_cheryl Lucky, now I want to teleport",tweet_emotions
FC is finally up again. it's about time. i hate that this keeps happening,tweet_emotions
seriously bored without anyone to talk to... but not tired enough for sleep,tweet_emotions
@keytar still!! give your computer a break omg,tweet_emotions
where u at?,tweet_emotions
@Forever_Yours13 I'm not at home with my cats right now!,tweet_emotions
Leno's last show was tonight.  I like him better than Conan.,tweet_emotions
@monpio i don't have any of that,tweet_emotions
@eCheers Random has an a,tweet_emotions
@ddlovato july... too long,tweet_emotions
Wearing glasses gives me a headache.,tweet_emotions
"@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes",tweet_emotions
sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!,tweet_emotions
@iceweasel im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...),tweet_emotions
"friday here at last, not much fun when your skint though",tweet_emotions
I don't think I will be able to get out of bed tomorrow morning  we will seeeee!,tweet_emotions
the times they are a changing,tweet_emotions
@slickiris video is not available to us foreigners,tweet_emotions
waiting to get picked up!,tweet_emotions
"@Giggles_xo   dang it, so its not certain ? ? ? are you okay?",tweet_emotions
wishes Dave Gilmour and Roger Waters would re-unite for a Pink Floyd concert,tweet_emotions
In 1 horse town + 2 blown out car speakers =,tweet_emotions
Someone make me a cofffeeeeeee......,tweet_emotions
My nose is stuffy,tweet_emotions
last night in newport,tweet_emotions
Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain,tweet_emotions
Baby was not herself after recieving vaccines,tweet_emotions
watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.,tweet_emotions
@zaharh that sucks!  how old are you actually?,tweet_emotions
Still confuse...,tweet_emotions
scratch that; sleep on a stage bound.,tweet_emotions
@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;,tweet_emotions
@laurelexmachina Swimming is a no go for me,tweet_emotions
"@duciaestherine ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer",tweet_emotions
@Joshuah_Pearson,tweet_emotions
@ccburns Unfortunately not,tweet_emotions
@emlevins,tweet_emotions
ups ketauan cabut nih gimana dong,tweet_emotions
Off to bed!! Still exhausted from Vegas,tweet_emotions
Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer,tweet_emotions
Loving lil ken and absolutely dreading saying goodbye in less than a week,tweet_emotions
HII!! Thatsï¿½meE!! I woke up and I am goinG to SchooL... Why me??,tweet_emotions
asks for karma points please.  http://plurk.com/p/wxnt9,tweet_emotions
L.A. said &quot;wipe the slate clean&quot; before the jelly!,tweet_emotions
@seanpercival Unless that invite comes with a beta key I'm not going to be much help...,tweet_emotions
@Johnny_Exp not where i live.,tweet_emotions
@sha_da_asshole ï¿½ cant im not @ my sister house no ï¿½-net tonite,tweet_emotions
"Damn, hi Facebook ? what's wrong with you ? can't add photos",tweet_emotions
4 more followers.. follow me and I'll love you!! *pouts* Please?,tweet_emotions
"@textdrivebys i dont even have a WII! b likes xbox, so that's what we have  do you use it?",tweet_emotions
@thunder_express i didnt get to see it tonight,tweet_emotions
2nd to last episode of jay leno  itll never be the same!  nite twitter,tweet_emotions
Fakin' kisha...just my luck!,tweet_emotions
so tense..so emotional...so not me..,tweet_emotions
playing the game of watching straight people hook up but can't leave because of another reason,tweet_emotions
@daveg38 yeah work today  never mind only one day then sun sun sun....,tweet_emotions
@heresmyhello92 I don't think it was either. But I can't remember it.,tweet_emotions
anyone got JBs live chat vid? i was @ school  I saw joe hug and tackle nick lol,tweet_emotions
@soonseeofpred becuz you braggin,tweet_emotions
@lawikyn ze Franz has not friended me  i think they think i'm a creepy stalker or sommat. Hmph.,tweet_emotions
And then you find out today they had there first kiss! },tweet_emotions
"dont know why so tired today  bye, time for beddy",tweet_emotions
"@syafique ooh maggi goreng. yums. i cant eat, sore throat cmin",tweet_emotions
@curligirl morning hon. what you having for breakfast? I cant decide,tweet_emotions
did I mention my BF bubbled the WSOP employees event after 12 hrs with AA  Working doubles  now for the next 6 weeks,tweet_emotions
@DellOutletUK But now it's gone,tweet_emotions
ups ketauan cabut sama @gemamalove @chikachilo nih,tweet_emotions
"It's 4pm Friday, he left at 6am Thursday.... surely he should be there now",tweet_emotions
@talentdmrripley  maybe a good night's sleep for everyone?,tweet_emotions
"@_erica Yea, its tough to keep it going. Sometimes I'm not sure its worth it.",tweet_emotions
Work at 5:45am =,tweet_emotions
@anthothemantho Hell yes. I'm too late.,tweet_emotions
"@ddlovato Since obviously living in Alaska, only a few radio stations we get here.",tweet_emotions
"Oh noes.  hey, what's my tatoo say?",tweet_emotions
@astynes I don't have a VCR...,tweet_emotions
@MsAKAtainment I know right  but hopefully something comes up though,tweet_emotions
@claudiuvoicu supposed to be back Sun (via private jet btw#!:o) but mite hav to stay bymyself (thnk god) for another week  &amp; want Bruno!,tweet_emotions
Huge headache...goodnight!!,tweet_emotions
"I justwatched like, 5 straight episodes of escaped on ID Discovery channel. A guy imprisoned 6 women, killed 2 and cooked them",tweet_emotions
its only 0.2! Just give me my 3 points!,tweet_emotions
@ryanhalloran why not?,tweet_emotions
to Chicago... but why isn't my ride calling me back?,tweet_emotions
"K, goodnight! Gotta do Chuck E Cheese tomorrow following kindergarten shots and physical... Bla",tweet_emotions
I've got to catch the bus to work,tweet_emotions
@pegbanditkitty absolutely nothin,tweet_emotions
@ecctv If it makes you feel better I lost 10 overnight cause I posted a picture of a baby,tweet_emotions
@scumm_boy I'm sorry  I'm thinking about you and hope the week gets better!,tweet_emotions
mannnn..... @alllyy_ got an iphone!!! im jealous....  http://bit.ly/NgnaR,tweet_emotions
"@regent_lord Aww, you should've YouTubed it.",tweet_emotions
Will miss nostalgia ... everyone please kick tushar,tweet_emotions
says good (or should i say bad?) afternoon!  http://plurk.com/p/wxpdj,tweet_emotions
says I've got number 10~  getting low~~ http://plurk.com/p/wxpdr,tweet_emotions
@summer_eyes I wish I knew!  The curse of Tumblr.,tweet_emotions
Business exam tomorrow,tweet_emotions
back from grimsby  it sucks bein back but was amazin wknd anyway!!,tweet_emotions
"@allysonalfonso haha, its under 18 :@ so ive got no one to go with  curse none of my friends liking TAI lol",tweet_emotions
@angelazodiak Aww maybe i traumatized her.,tweet_emotions
Ugh. Too much happened today. I really need a hug,tweet_emotions
@n3rin3 Ur pic is gone,tweet_emotions
how do you twitter?,tweet_emotions
@JWess awww  ok lol hopefully by than im still here and not back over in the states,tweet_emotions
@djcoombs not at my workplace.   but a short-sleeved shirt is absolutely necessary today!,tweet_emotions
does anyone know how to convert 6 est to Aus time? ROFL xD fucking radio disney,tweet_emotions
@sakshijuneja ok that's subtly saying i'm no longer a fave  temme 1 thing - did the firangs steal your vocab? ur eating words and how!,tweet_emotions
FYI no internets until THURSTAG!!!! after saturday  i have a feeling i will become 800x more productive during those days.,tweet_emotions
I signed up for an account on a political website so I could post a comment but it isn't working.,tweet_emotions
How Come I Can Never Sleep Past?? Not Good,tweet_emotions
@typicalrouse I would but its like 1800 or 1000+ miles  gas prices are crazy im doing alpine next summer most def,tweet_emotions
has an exam at 10am - I slept about 3 hours last night,tweet_emotions
Wish I lived in or atleast relatively close to Ohio!   Haven't seen @SmallTown_Troy or @Derk_McLoven in almost a year.,tweet_emotions
@3Gguy and within a short time of the last clue all of them,tweet_emotions
my phone still doesnt tweet,tweet_emotions
"@blindcripple Good idea Brain, you can't not be on Twitter...",tweet_emotions
@mrskutcher just checked library website and girl with dragon tattoo is checked out,tweet_emotions
I'm at work,tweet_emotions
"@portugaltheman @liftingfaces Where'd the songs go on the site, I want &quot;Do You&quot; on this computer too",tweet_emotions
@CheetahmamiBia oooo ok   why  havent you accepted my friends request,tweet_emotions
just got home after killing a possum,tweet_emotions
... that's all,tweet_emotions
@anshprat yahoo maps! lots more to desire #yahoo,tweet_emotions
"facebook quizzes are one cure of boredom haha, my teeth/mouth hurts",tweet_emotions
@debbylovespr I've got one too  though i think mine was attributed to the seizure inducing color/light show in the movie The Soloist.,tweet_emotions
goodnight everyone.,tweet_emotions
@IsaGoksu  http://yfrog.com/11z2ip  nothing there,tweet_emotions
"really, realy want a netbook. mrr. Techno-lust sucks",tweet_emotions
@RichardGiles mine pools... just in someone elses pocket,tweet_emotions
@ndrew10 I know!!!! He didn't ask me,tweet_emotions
@MrsSOsbourne Ozzy isn't following you yet,tweet_emotions
I hate TweetDeck when it reaches access limits,tweet_emotions
@ANAIZZ you might want to get some rest...i promise you wont retain the knowledge sleepy,tweet_emotions
"@Wolfie85 @christelmcr Ah  sameway Yet,@mikeyway has 2006 votes ((.We need more vote :'D",tweet_emotions
I want a Monte Cristo sandwich sooo... BAd!!!,tweet_emotions
Just finished watching &quot;Marley and Me&quot;,tweet_emotions
@GeoffComma no fair,tweet_emotions
"Nina was on my lap, but just decided to jump off",tweet_emotions
"the swine flu is in robina, gold coast",tweet_emotions
Def wants to cuddle it out maybe play but has no one to do it with the bc is far away,tweet_emotions
Gotta go back out there.,tweet_emotions
I don't remember what i text to twitter to get a list of commands  halp,tweet_emotions
@gettothefalcon i miss that too,tweet_emotions
I cant watch anythgin till tonight,tweet_emotions
"@workhomexpert Nope, re-reading it all over again.     No offense meant",tweet_emotions
Jay Leno has one more show left as the host of The Tonight Show,tweet_emotions
@TLuke08  sometimes going and doing other stuff cures that,tweet_emotions
..i graduate today,tweet_emotions
@504chucky whats with u hating on becky soo much? ur bio says ur nice....guess not,tweet_emotions
@Salamandroid its not just you - its properly dragged this week,tweet_emotions
looks can be deceiving,tweet_emotions
Week-end is over and now it's time to get back to work,tweet_emotions
"Summer is about to end.  For some, it's just about to start. Hahah.",tweet_emotions
"@toddh3284 T, im sooooo bored right now",tweet_emotions
@CHARITY_GANT popularity contest and they think twitter will help.... and it's become trendy,tweet_emotions
madd bored,tweet_emotions
My wife can't get on the guest list for tomorrows show because it doesn't exist. LAME. I guess no wife at the show.,tweet_emotions
@jesssicababesss @IvanaE @RachelLock22 DECEMBER... thats like a year away...,tweet_emotions
Ugh cant sleep on  this bus.  still have like 5 hours,tweet_emotions
Alcohol does not promote weight loss.,tweet_emotions
is up too early,tweet_emotions
3am i still cant sleep,tweet_emotions
Going to a wake of a dear friend Marlito Sy tonight in Novaliches,tweet_emotions
i sooooooooo dont want to go to work today to nice outside.,tweet_emotions
need a camera blower.. my camera censor is dirteeh..,tweet_emotions
S'acaba la setmana del rap vintage  amb la millor: MC Hammer - U can't touch this http://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu,tweet_emotions
... Money money money...      http://twitpic.com/664uz,tweet_emotions
walked home in the rain.,tweet_emotions
@mvermut translation = complicated sh-t that someone is going to have to teach me,tweet_emotions
"bored, nothing to do",tweet_emotions
@PorkChopJones Sorry   move back?,tweet_emotions
@_anniemay OMG No fair,tweet_emotions
"@RockedByPickler no I won't honey I got mad yrs to go , why am I crazy?",tweet_emotions
Got back and putting in the laundry. We got in there last  o well as long as its clean. #DSAA09,tweet_emotions
Brake time!! Nothing for lunch. Tonite.,tweet_emotions
rented bikes + unknown trail with random bumps + big hills + kids = one beat up little girl. Not a good day on the B family vacation.,tweet_emotions
"I feel like ive done the London marathon, I ach all over",tweet_emotions
@DantiChos baby help me with math,tweet_emotions
Epicfail and Joseph in class... Very long liao,tweet_emotions
the physical. It's coo now i know. Just lettin off some steam.,tweet_emotions
"@vivzy wanted to change my handset covers, pen drives and a headphone in some place..guess its not happening...",tweet_emotions
@HomeSwapperteam what is the point of your twit on bgt i must be one of the only people you havent found a swap for depite the promises,tweet_emotions
hampa hatiku,tweet_emotions
I don't ship out until October,tweet_emotions
I would of won that contest if I weren't to have chickened out,tweet_emotions
Poltergeist! In my house,tweet_emotions
@Joseph_KHC wooow. lucky XD my break is gonna end. my classes starts @ june 4,tweet_emotions
FML still awake  melatonin not working!,tweet_emotions
"Augh, fever's gone up again. If I end up missing the WeHo clubbing tomorrow night, I am going to be pissed. Stupid boytoy gave me plague.",tweet_emotions
@BrentLauren that doesn't sound like fun,tweet_emotions
Come to bed,tweet_emotions
lonely ..,tweet_emotions
I was rooting for Betty.,tweet_emotions
crash in Qmbol,tweet_emotions
I'm such a chicken,tweet_emotions
@Burgandy1 Girl I know!,tweet_emotions
@metafisix i thought you were gonna be at the show,tweet_emotions
"Bucky, my ferret officially has insulinoma  Now on daily prednisone. Had interview with p-doc today, have to go back monday for testing.",tweet_emotions
Goodnight world! I have t o be up at 5am,tweet_emotions
@Fasn8nUrMind ima goodgirl I'm not down with takin advantage,tweet_emotions
gahh!! i'm so tired right now.,tweet_emotions
@whitespider1066 &quot;toys&quot;??? Advanced load carrying system. Low-cost 1-man outdoor shelter. I didn't get the Wolverine glove,tweet_emotions
"???ï¿½ï¿½  ???CE d grade?mock?????, ???????",tweet_emotions
need a lots of moneeeeeeeeeeeeeeeey,tweet_emotions
i have nothing to do,tweet_emotions
@AdamKruth serious! Perhaps Sat will work out better,tweet_emotions
i got no followers i only have like 2  someone follow Me please?,tweet_emotions
Dude. everyone could. it wasn't ment to be bad..,tweet_emotions
@TerrenceJ106 I'm with you...been up till 5-6 for the last few nights...,tweet_emotions
im saaaaaaaaaaaaaad  i need someone to talk to.,tweet_emotions
Hangover,tweet_emotions
Hi anyone there?!!!!!!!!!!!!!!,tweet_emotions
Last night in Australia,tweet_emotions
"The time in Germany went by too fast, only 2 days left   Hopefully I will move here soon.",tweet_emotions
@Cause4Conceit  wish u could rub my head too,tweet_emotions
"@philcampbell blue skies? where, it's still grey and hazy out of my window",tweet_emotions
@risamarie: no i'm not going.,tweet_emotions
Varsity Fanclub will never be the same!!,tweet_emotions
@arania nope i cant figure out how to get the updates on my blackberry. . . i need to go running too,tweet_emotions
Is up so early and proppa shattered and knackered,tweet_emotions
Shame I've gotto go to work,tweet_emotions
@ayawan I actually meant to type &quot;end of September&quot; but I was in the middle of a conversation with someone and I cant multitask,tweet_emotions
iï¿½m ill.. bueeee..,tweet_emotions
@BARACKOKITTY ur right! i dont have a reason to be up early but im sure my niece will be in my room in a few hrs botherin me,tweet_emotions
to spend the weekend...to not spend the weekend.....that is hte question that is on my mind...,tweet_emotions
My door looks naked   It makes my room feel bigger though.,tweet_emotions
@lumivalkoinen nice you look awesome in photos .. whereas I look like a drunken soccer fan in all of mine,tweet_emotions
almost 100 cases of swine in australia. hope may still decides to come visits me,tweet_emotions
@EnglishRoses Equations and graphs,tweet_emotions
Addicted to Glee... watching the video over and over again....I should be out,tweet_emotions
"I had a horrible dream  it had to do with a scary face, now im awake for the rest of the night. God dammit :\",tweet_emotions
@brandillio that would be most ideal. However...now I dont see myself leaving before 3  Gonna have to take a rain check,tweet_emotions
"??????? ????????? ?? Google Chrome - ?? ???????, ?? ??? ???????? ??? ?? Firefox",tweet_emotions
"@yarivs Storysize is 2 (and it's posted as a short story, not one liner), but doesn't show up in any news friends can see. Only in wall",tweet_emotions
@bannersrus hemp cloth is marvelous but unfortunately no,tweet_emotions
@bronwen @jjprojects you might have missed my latest experiment - I know blogs have too many words these days  http://tinyurl.com/ne6twc,tweet_emotions
"You need to remember the data the customer has entered on previous pages when they use the back button. So, so many don't do this",tweet_emotions
NOT excited for 32 people reservation in the morning  damn LOVIN halo3 right now for sure too,tweet_emotions
Is there a way to block followers?  I have no idea who you are. .  Sorry..,tweet_emotions
"i really don't want to go to the eisteddfod concert tonight, it would be ok if i didnt have to wear the dumb band uniform",tweet_emotions
"i now have 3 new videos on my ipod, i delted a few so i could replace them",tweet_emotions
trying to finish moving stuff for tonight don't feel good!!!!!,tweet_emotions
Mudweight hauled in for last time by @dandypig  http://yfrog.com/0zr2jqj,tweet_emotions
1 month ahaha. AND i dunno if I can go tomorrow LMAO cause i went today   Freakin filipino parents AHA,tweet_emotions
"forecast in sf for friday, may 29: 66 degrees.",tweet_emotions
@emcrxtna 1 month ahaha. AND i dunno if I can go tomorrow LMAO cause i went today  Freakin filipino parents AHA,tweet_emotions
excited for YSJ Summer Ball - I wish we had one too,tweet_emotions
"@melkoo Hi Mel, if you feel unhappy just take a bit of fries but don't overdo.  If can help it don't",tweet_emotions
@Bkk_Saluja but i think the choco diet is worse  cuz every time ur hungry ur only allowed to eat a tiiiny piece of chocolate D:,tweet_emotions
"it's about rain here, or it's just plain cloudy. i don't know which...",tweet_emotions
@keytar make up your mind,tweet_emotions
@Maxsterism naisee. is it bad that i can see lens flares all arond me while listening to it? XD cant really catch what they're saying tho,tweet_emotions
@Cookie_Monstr  u may try Prism http://prism.mozilla.com/,tweet_emotions
http://www.speedtest.net/result/483892161.png i get good download speed only when no one else is using the connection,tweet_emotions
food...food...FOOD!,tweet_emotions
@laubow_  me too!,tweet_emotions
Hitting the docks soon.,tweet_emotions
Too much sand in the SD 790 from pismo this weekend. ANOTHER canon powershot broken. 2nd one in a year  What to buy this time...,tweet_emotions
@itsJorx what do you mean jorx?,tweet_emotions
@madpierrot maybe it'll listen to you  dude it's like three in the morning. what time is it over there?,tweet_emotions
I used to have a remote for my tv.,tweet_emotions
@leslieyuko mine too,tweet_emotions
So tired.,tweet_emotions
thinks Coast Capital sent her work number to telemarketers,tweet_emotions
@poohbaby91 hey you WHORE!! that's kinda mean dont yu think?!,tweet_emotions
http://bit.ly/LaZEL  Wow Christian Lacroix bankrupt.. sad,tweet_emotions
Brownie sundaes at Five and Dumpster. Blood Bros on iTunes. Palm Reader was closed  Fun at the 371 anyway.,tweet_emotions
i have much to learn,tweet_emotions
@taylorswift13 so my friends are coming to see you on NYC...but im on stupid vaca in the stupid cayman islands so i cnt go  iloveyou&lt;3,tweet_emotions
@Yaelzraw fell asleep with techno songs on shuffle. Loud.  Its been on for hours. Im too lazy to go turn it off. He has like 800,tweet_emotions
@J2thaESSICA also just spoke to my &lt;3...              ï¿½tearï¿½,tweet_emotions
Sitting waiting for an exam to start,tweet_emotions
am hungry agaaaaaaiiiin maaaam,tweet_emotions
"Morning folks! Light tweeting today ('Hurrah!' from the crowd!) 'cos I've a busy Friday. Me inside, sunshine out.",tweet_emotions
Oh dear. Travellers moved onto land very near my house. They always leave a bloody mess and council take a year b 4 they clean it up,tweet_emotions
"I can't have any pets in the appartment I really want, so no rat yet.",tweet_emotions
going to work soon,tweet_emotions
So hot today.  Why must it be a weekday,tweet_emotions
IT DIDN'T WORK,tweet_emotions
"I'm going to see Le Mis tonight. - myonlysanction: ugh, so jealous. aw  im a sucker for musicals, but i... http://tumblr.com/xtl1wb089",tweet_emotions
"Gotta sleep, and then off to work",tweet_emotions
listens to MSI and bakes banana bread. How weird is she? Remarkably not so much anymore.,tweet_emotions
